"state","year","avg_days_to_contain"
AK,1992,3.5203426124197
AK,1993,5.395321637426901
AK,1994,5.525236593059937
AK,1995,2.9784172661870505
AK,1996,11.290909090909091
AK,1997,9.65
AK,1998,5.0588235294117645
AK,1999,13.629213483146067
AK,2000,16.328125
AK,2001,8.193877551020408
AK,2002,18.3224043715847
AK,2003,8.112582781456954
AK,2004,18.58858858858859
AK,2005,23.002958579881657
AK,2006,9.885416666666666
AK,2007,14.17910447761194
AK,2008,6.540697674418604
AK,2009,11.636363636363637
AK,2010,10.834553440702782
AK,2011,4.693181818181818
AK,2012,4.26628895184136
AK,2013,9.557009345794393
AK,2014,2.745222929936306
AK,2015,24.27479892761394
AL,1992,0.05434782608695652
AL,1993,0.1984732824427481
AL,1994,0.09523809523809523
AL,1995,0.1953125
AL,1996,0.47572815533980584
AL,1997,0.5185185185185185
AL,1998,0.488
AL,1999,2.6315789473684212
AL,2000,0.5192307692307693
AL,2001,2.3943661971830985
AL,2002,2.7285714285714286
AL,2003,0.037383177570093455
AL,2004,0.04191224623444663
AL,2005,0.04681353265145555
AL,2006,0.07373271889400922
AL,2007,0.1020675215912065
AL,2008,0.08262393590385578
AL,2009,0.08717948717948718
AL,2010,0.10464495461825948
AL,2011,0.16073194856577647
AL,2012,0.15348288075560804
AL,2013,0.10057288351368555
AL,2014,0.10311958405545928
AL,2015,0.0880281690140845
AR,1992,0.1452991452991453
AR,1993,0.22142857142857142
AR,1994,0.20134228187919462
AR,1995,0.29130434782608694
AR,1996,0.2186046511627907
AR,1997,0.45901639344262296
AR,1998,0.2222222222222222
AR,1999,0.3423913043478261
AR,2000,0.5268817204301075
AR,2001,0.3963963963963964
AR,2002,0.4444444444444444
AR,2003,0.4732142857142857
AR,2004,0.061224489795918366
AR,2005,0.6385542168674698
AR,2006,1.125
AR,2007,0.7008547008547008
AR,2008,1.4642857142857142
AR,2009,0.3333333333333333
AR,2010,0.20833333333333334
AR,2011,0.07353519465198584
AR,2012,0.05061675882603148
AR,2013,0.32051282051282054
AR,2014,0.034055727554179564
AR,2015,0.048221343873517786
AZ,1992,0.45656565656565656
AZ,1993,0.2889858233369684
