"state","fire_count"
CA,189550
GA,168867
TX,142021
NC,111277
FL,90261
SC,81315
NY,80870
MS,79230
AZ,71586
AL,66570
OR,61088
MN,44769
OK,43239
MT,40767
NM,37478
ID,36698
CO,34157
WA,33513
WI,31861
AR,31663
TN,31154
SD,30963
UT,30725
LA,30013
KY,27089
NJ,25949
PR,22081
WV,21967
VA,21833
MO,17953
NV,16956
ND,15201
WY,14166
ME,13150
AK,12843
MI,10502
HI,9895
PA,8712
NE,7973
KS,7673
CT,4976
IA,4134
MD,3622
OH,3479
MA,2626
NH,2452
IL,2327
IN,2098
RI,480
VT,456
DE,171
DC,66
